INFO 2025-01-07 08:55:39,695 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-07 08:55:39,705 autoreload Waiting for apps ready_event.
DEBUG 2025-01-07 08:55:41,376 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-01-07 08:55:41,456 autoreload Watching dir C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-01-07 08:55:41,458 autoreload Watching dir D:\myproject\locale with glob **/*.mo.
DEBUG 2025-01-07 08:55:41,459 autoreload Watching dir C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-01-07 08:55:41,460 autoreload Watching dir D:\myproject\car\locale with glob **/*.mo.
DEBUG 2025-01-07 08:55:41,634 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-01-07 08:55:41,634 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-01-07 08:55:42,035 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\db\backends\sqlite3\features.py first seen with mtime 1735806871.8354511
DEBUG 2025-01-07 08:55:42,035 autoreload File C:\Program Files\Python312\Lib\site-packages\idna\__init__.py first seen with mtime 1719049333.8579097
DEBUG 2025-01-07 08:55:42,035 autoreload File C:\Program Files\Python312\Lib\site-packages\yaml\error.py first seen with mtime 1719049333.091248
DEBUG 2025-01-07 08:55:42,035 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\db\models\functions\text.py first seen with mtime 1735806871.9135764
DEBUG 2025-01-07 08:55:42,035 autoreload File C:\Program Files\Python312\Lib\dataclasses.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,035 autoreload File C:\Program Files\Python312\Lib\importlib\resources\readers.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,035 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\rest_framework\checks.py first seen with mtime 1735809097.3658473
DEBUG 2025-01-07 08:55:42,047 autoreload File C:\Program Files\Python312\Lib\importlib\resources\__init__.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,048 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\sqlparse\engine\grouping.py first seen with mtime 1735803648.5696864
DEBUG 2025-01-07 08:55:42,049 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\pytz\__init__.py first seen with mtime 1719017426.5202494
DEBUG 2025-01-07 08:55:42,051 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1735806871.9135764
DEBUG 2025-01-07 08:55:42,053 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\core\signing.py first seen with mtime 1735806871.6479547
DEBUG 2025-01-07 08:55:42,054 autoreload File C:\Program Files\Python312\Lib\urllib\error.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,055 autoreload File C:\Program Files\Python312\Lib\__future__.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,056 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\utils\hashable.py first seen with mtime 1735806872.147951
DEBUG 2025-01-07 08:55:42,058 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\core\checks\security\__init__.py first seen with mtime 1735806871.6791995
DEBUG 2025-01-07 08:55:42,068 autoreload File C:\Program Files\Python312\Lib\calendar.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,070 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\core\files\utils.py first seen with mtime 1735806871.6948266
DEBUG 2025-01-07 08:55:42,070 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\sqlparse\engine\filter_stack.py first seen with mtime 1735803648.567688
DEBUG 2025-01-07 08:55:42,070 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\core\files\storage\mixins.py first seen with mtime 1735806871.6948266
DEBUG 2025-01-07 08:55:42,070 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\core\serializers\python.py first seen with mtime 1735806871.7573285
DEBUG 2025-01-07 08:55:42,070 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\pygments\util.py first seen with mtime 1705780573.5696502
DEBUG 2025-01-07 08:55:42,070 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1735806872.1635747
DEBUG 2025-01-07 08:55:42,087 autoreload File C:\Program Files\Python312\Lib\wsgiref\headers.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,087 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\pygments\filters\__init__.py first seen with mtime 1705780573.5726469
DEBUG 2025-01-07 08:55:42,087 autoreload File C:\Program Files\Python312\Lib\site-packages\urllib3\util\proxy.py first seen with mtime 1719049331.545601
DEBUG 2025-01-07 08:55:42,097 autoreload File C:\Program Files\Python312\Lib\site-packages\urllib3\util\ssl_.py first seen with mtime 1719049331.5730295
DEBUG 2025-01-07 08:55:42,098 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1735806871.8979526
DEBUG 2025-01-07 08:55:42,100 autoreload File C:\Program Files\Python312\DLLs\pyexpat.pyd first seen with mtime 1717678502.0
DEBUG 2025-01-07 08:55:42,101 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\core\checks\compatibility\django_4_0.py first seen with mtime 1735806871.6791995
DEBUG 2025-01-07 08:55:42,104 autoreload File C:\Program Files\Python312\Lib\html\__init__.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,104 autoreload File C:\Program Files\Python312\Lib\re\__init__.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,104 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\sqlparse\filters\output.py first seen with mtime 1735803648.5766923
DEBUG 2025-01-07 08:55:42,104 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\contrib\auth\apps.py first seen with mtime 1735806868.6167023
DEBUG 2025-01-07 08:55:42,104 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\rest_framework\compat.py first seen with mtime 1735809097.3658473
DEBUG 2025-01-07 08:55:42,104 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\pygments\__init__.py first seen with mtime 1705780573.5406654
DEBUG 2025-01-07 08:55:42,104 autoreload File C:\Program Files\Python312\DLLs\select.pyd first seen with mtime 1717678502.0
DEBUG 2025-01-07 08:55:42,104 autoreload File C:\Program Files\Python312\Lib\struct.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,121 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1735806868.9760754
DEBUG 2025-01-07 08:55:42,129 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\db\backends\base\operations.py first seen with mtime 1735806871.7885768
DEBUG 2025-01-07 08:55:42,130 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\contrib\auth\validators.py first seen with mtime 1735806868.6323233
DEBUG 2025-01-07 08:55:42,131 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\forms\formsets.py first seen with mtime 1735806871.9292004
DEBUG 2025-01-07 08:55:42,137 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\contrib\postgres\validators.py first seen with mtime 1735806870.4917016
DEBUG 2025-01-07 08:55:42,141 autoreload File C:\Program Files\Python312\Lib\email\contentmanager.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,142 autoreload File C:\Program Files\Python312\Lib\site-packages\urllib3\util\retry.py first seen with mtime 1719049331.569674
DEBUG 2025-01-07 08:55:42,143 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\pygments\plugin.py first seen with mtime 1705780573.556657
DEBUG 2025-01-07 08:55:42,144 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\db\migrations\operations\special.py first seen with mtime 1735806871.8667016
DEBUG 2025-01-07 08:55:42,145 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\dispatch\__init__.py first seen with mtime 1735806871.9135764
DEBUG 2025-01-07 08:55:42,146 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\views\decorators\csrf.py first seen with mtime 1735806872.1948235
DEBUG 2025-01-07 08:55:42,147 autoreload File C:\Program Files\Python312\Lib\asyncio\taskgroups.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,147 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\rest_framework\parsers.py first seen with mtime 1735809097.3971004
DEBUG 2025-01-07 08:55:42,150 autoreload File C:\Program Files\Python312\Lib\email\mime\base.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,151 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\sqlparse\filters\__init__.py first seen with mtime 1735803648.5726857
DEBUG 2025-01-07 08:55:42,159 autoreload File C:\Program Files\Python312\Lib\ssl.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,160 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\sqlparse\formatter.py first seen with mtime 1735803648.556693
DEBUG 2025-01-07 08:55:42,160 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\template\loaders\filesystem.py first seen with mtime 1735806872.1010776
DEBUG 2025-01-07 08:55:42,161 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\utils\timezone.py first seen with mtime 1735806872.1792016
DEBUG 2025-01-07 08:55:42,162 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\template\library.py first seen with mtime 1735806872.0698283
DEBUG 2025-01-07 08:55:42,163 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\utils\translation\__init__.py first seen with mtime 1735806872.1792016
DEBUG 2025-01-07 08:55:42,164 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\http\response.py first seen with mtime 1735806872.0385795
DEBUG 2025-01-07 08:55:42,165 autoreload File C:\Program Files\Python312\Lib\site-packages\requests\__version__.py first seen with mtime 1719049337.89016
DEBUG 2025-01-07 08:55:42,165 autoreload File C:\Program Files\Python312\Lib\email\policy.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,168 autoreload File C:\Program Files\Python312\Lib\site-packages\urllib3\exceptions.py first seen with mtime 1719049331.3416908
DEBUG 2025-01-07 08:55:42,169 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1735803648.5796883
DEBUG 2025-01-07 08:55:42,171 autoreload File C:\Program Files\Python312\Lib\site-packages\requests\structures.py first seen with mtime 1719049337.9322839
DEBUG 2025-01-07 08:55:42,171 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1735806868.9760754
DEBUG 2025-01-07 08:55:42,176 autoreload File C:\Program Files\Python312\Lib\site-packages\yaml\dumper.py first seen with mtime 1719049333.0782537
DEBUG 2025-01-07 08:55:42,177 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\contrib\__init__.py first seen with mtime 1735806867.5229526
DEBUG 2025-01-07 08:55:42,178 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1735806871.8979526
DEBUG 2025-01-07 08:55:42,179 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\db\models\sql\__init__.py first seen with mtime 1735806871.9135764
DEBUG 2025-01-07 08:55:42,180 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\rest_framework\schemas\inspectors.py first seen with mtime 1735809097.6158493
DEBUG 2025-01-07 08:55:42,181 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\core\management\color.py first seen with mtime 1735806871.7260754
DEBUG 2025-01-07 08:55:42,182 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\views\decorators\__init__.py first seen with mtime 1735806872.1948235
DEBUG 2025-01-07 08:55:42,182 autoreload File C:\Program Files\Python312\Lib\asyncio\locks.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,182 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\contrib\sites\__init__.py first seen with mtime 1735806871.351076
DEBUG 2025-01-07 08:55:42,186 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\template\exceptions.py first seen with mtime 1735806872.0698283
DEBUG 2025-01-07 08:55:42,187 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\urls\resolvers.py first seen with mtime 1735806872.132326
DEBUG 2025-01-07 08:55:42,187 autoreload File C:\Program Files\Python312\Lib\site-packages\urllib3\connection.py first seen with mtime 1719049331.334574
DEBUG 2025-01-07 08:55:42,187 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\contrib\admin\__init__.py first seen with mtime 1735806867.5229526
DEBUG 2025-01-07 08:55:42,187 autoreload File C:\Program Files\Python312\Lib\multiprocessing\reduction.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,187 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\core\checks\templates.py first seen with mtime 1735806871.6791995
DEBUG 2025-01-07 08:55:42,187 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\rest_framework\utils\serializer_helpers.py first seen with mtime 1735809097.8033507
DEBUG 2025-01-07 08:55:42,187 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\db\backends\sqlite3\_functions.py first seen with mtime 1735806871.8354511
DEBUG 2025-01-07 08:55:42,187 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\sqlparse\filters\reindent.py first seen with mtime 1735803648.578689
DEBUG 2025-01-07 08:55:42,187 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\template\autoreload.py first seen with mtime 1735806872.0542006
DEBUG 2025-01-07 08:55:42,187 autoreload File C:\Program Files\Python312\Lib\ctypes\__init__.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,204 autoreload File C:\Program Files\Python312\Lib\pprint.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,204 autoreload File C:\Program Files\Python312\Lib\asyncio\trsock.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,204 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\core\cache\backends\base.py first seen with mtime 1735806871.6635783
DEBUG 2025-01-07 08:55:42,204 autoreload File C:\Program Files\Python312\Lib\collections\__init__.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,204 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\middleware\security.py first seen with mtime 1735806872.0542006
DEBUG 2025-01-07 08:55:42,204 autoreload File C:\Program Files\Python312\Lib\re\_constants.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,204 autoreload File C:\Program Files\Python312\Lib\weakref.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,204 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\views\__init__.py first seen with mtime 1735806872.1792016
DEBUG 2025-01-07 08:55:42,204 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\db\backends\base\creation.py first seen with mtime 1735806871.7885768
DEBUG 2025-01-07 08:55:42,204 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\django\db\models\utils.py first seen with mtime 1735806871.8823373
DEBUG 2025-01-07 08:55:42,204 autoreload File C:\Program Files\Python312\Lib\asyncio\queues.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,224 autoreload File C:\Program Files\Python312\Lib\concurrent\__init__.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,224 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\pygments\regexopt.py first seen with mtime 1705780573.558657
DEBUG 2025-01-07 08:55:42,230 autoreload File C:\Program Files\Python312\Lib\encodings\utf_8_sig.py first seen with mtime 1717678452.0
DEBUG 2025-01-07 08:55:42,231 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\pygments\styles\__init__.py first seen with mtime 1705780574.1033423
DEBUG 2025-01-07 08:55:42,232 autoreload File C:\Users\HUY\AppData\Roaming\Python\Python312\site-packages\rest_framework\metadata.py first seen with mtime 1735809097.3814757
DEBUG 2025-01-07 08:55:42,233 autoreload File C:\Program Files\Python312\Lib\inspect.py first seen with mtime 1717678452.0
